FAULT LATITUDE & LONGITUDE DATA - ALL INDIA SEISAT SHEETS (COMPILED),,,,,,
SEISAT SHEET,FAULT TYPE,S.NO,FAULT NAME,ABBREVIATION,LONGITUDE,LATITUDE
SEISAT-19,NEOTECTONIC FAULT,17,SON NARMADA FAULT,F5a,73.5,21.8
SEISAT-19,NEOTECTONIC FAULT,17,SON NARMADA FAULT,F5a,73.8,21.87
SEISAT-19,NEOTECTONIC FAULT,17,SON NARMADA FAULT,F5a,74,21.9
SEISAT-19,NEOTECTONIC FAULT,17,SON NARMADA FAULT,F5a,74.2,21.95
SEISAT-19,NEOTECTONIC FAULT,17,SON NARMADA FAULT,F5a,74.4,22
SEISAT-19,NEOTECTONIC FAULT,17,SON NARMADA FAULT,F5a,74.6,22.05
SEISAT-19,NEOTECTONIC FAULT,17,SON NARMADA FAULT,F5a,74.8,22.08
SEISAT-19,NEOTECTONIC FAULT,18,SON NARMADA FAULT,F5b,73.5,21.7
SEISAT-19,NEOTECTONIC FAULT,18,SON NARMADA FAULT,F5b,73.75,21.8
SEISAT-19,NEOTECTONIC FAULT,18,SON NARMADA FAULT,F5b,73.9,21.9
SEISAT-19,NEOTECTONIC FAULT,19,SON NARMADA FAULT,F5c,73.55,21.8
SEISAT-19,NEOTECTONIC FAULT,19,SON NARMADA FAULT,F5c,73.8,21.85
SEISAT-19,NEOTECTONIC FAULT,20,SON NARMADA FAULT,F5d,73.8,21.8
SEISAT-19,NEOTECTONIC FAULT,20,SON NARMADA FAULT,F5d,73.9,21.9
SEISAT-19,NEOTECTONIC FAULT,21,BARWANI SUKTA FAULT,F6,74.72,22.1
SEISAT-19,NEOTECTONIC FAULT,21,BARWANI SUKTA FAULT,F6,74.86,21.95
SEISAT-19,NEOTECTONIC FAULT,21,BARWANI SUKTA FAULT,F6,75,21.8
SEISAT-19,FAULT INVOLVING COVER,1,BARWANI SUKTA FAULT,F7a,73.4,22.15
SEISAT-19,FAULT INVOLVING COVER,1,BARWANI SUKTA FAULT,F7a,73.5,22.12
SEISAT-19,FAULT INVOLVING COVER,1,BARWANI SUKTA FAULT,F7a,73.6,22.1
SEISAT-19,FAULT INVOLVING COVER,1,BARWANI SUKTA FAULT,F7a,73.48,22.15
SEISAT-19,FAULT INVOLVING COVER,2,BARWANI SUKTA FAULT,F7b,73.75,22.15
SEISAT-19,FAULT INVOLVING COVER,2,BARWANI SUKTA FAULT,F7b,73.9,22.23
SEISAT-19,FAULT INVOLVING COVER,3,BARWANI SUKTA FAULT,F7c,73.93,22.15
SEISAT-19,FAULT INVOLVING COVER,3,BARWANI SUKTA FAULT,F7c,74.07,22.2
SEISAT-19,FAULT INVOLVING COVER,4,THARGON FAULT,F8,73.8,22
SEISAT-19,FAULT INVOLVING COVER,4,THARGON FAULT,F8,73.83,22.03
SEISAT-19,FAULT INVOLVING COVER,4,THARGON FAULT,F8,73.9,22.07
SEISAT-19,FAULT INVOLVING COVER,4,THARGON FAULT,F8,74.04,22.1
SEISAT-20,NEOTECTONIC FAULT,1,BARWANI SUKTA FAULT,,75,21.8
SEISAT-20,NEOTECTONIC FAULT,1,BARWANI SUKTA FAULT,,75.2,21.65
SEISAT-20,NEOTECTONIC FAULT,1,BARWANI SUKTA FAULT,,75.4,21.55
SEISAT-20,NEOTECTONIC FAULT,1,BARWANI SUKTA FAULT,,75.7,21.5
SEISAT-20,NEOTECTONIC FAULT,1,BARWANI SUKTA FAULT,,76,21.54
SEISAT-20,NEOTECTONIC FAULT,1,BARWANI SUKTA FAULT,,76.2,21.58
SEISAT-20,NEOTECTONIC FAULT,1,BARWANI SUKTA FAULT,,76.4,21.65
SEISAT-20,NEOTECTONIC FAULT,2,SON NARMADA FAULT,F5e,75.6,21.7
SEISAT-20,NEOTECTONIC FAULT,2,SON NARMADA FAULT,F5e,75.8,21.75
SEISAT-20,NEOTECTONIC FAULT,2,SON NARMADA FAULT,F5e,76,21.8
SEISAT-20,NEOTECTONIC FAULT,2,SON NARMADA FAULT,F5e,76.2,21.8
SEISAT-20,NEOTECTONIC FAULT,2,SON NARMADA FAULT,F5e,76.4,21.84
SEISAT-20,NEOTECTONIC FAULT,2,SON NARMADA FAULT,F5e,76.6,21.9
SEISAT-20,NEOTECTONIC FAULT,2,SON NARMADA FAULT,F5e,76.9,22
SEISAT-20,NEOTECTONIC FAULT,2,SON NARMADA FAULT,F5e,77,22.1
SEISAT-20,NEOTECTONIC FAULT,2,SON NARMADA FAULT,F5e,77.15,22.15
SEISAT-20,NEOTECTONIC FAULT,2,SON NARMADA FAULT,F5e,77.4,22.3
SEISAT-20,NEOTECTONIC FAULT,2,SON NARMADA FAULT,F5e,77.8,22.4
SEISAT-20,NEOTECTONIC FAULT,2,SON NARMADA FAULT,F5e,77.9,22.52
SEISAT-20,NEOTECTONIC FAULT,2,SON NARMADA FAULT,F5e,78,22.6
SEISAT-20,NEOTECTONIC FAULT,3,SON NARMADA FAULT,F5f,77.5,22.3
SEISAT-20,NEOTECTONIC FAULT,3,SON NARMADA FAULT,F5f,77.65,22.4
SEISAT-20,NEOTECTONIC FAULT,3,SON NARMADA FAULT,F5f,77.8,22.5
SEISAT-20,NEOTECTONIC FAULT,3,SON NARMADA FAULT,F5f,78,22.55
SEISAT-20,NEOTECTONIC FAULT,4,TAPTI NORTH FAULT,F4k,75,21.33
SEISAT-20,NEOTECTONIC FAULT,4,TAPTI NORTH FAULT,F4k,75.1,21.3
SEISAT-20,NEOTECTONIC FAULT,5,TAPTI NORTH FAULT,F4l,75.1,21.29
